query,answer,image,image_path,Unnamed: 4,sub_queries
What is the man on the poster for Black Hawk Down (film) holding in his right hand?,gun,afc2fd4277f09b50b68b2b7191d687b8,ddded78c299377e2c328212d7ef005ab.jpg,,poster| Black Hawk Down (film)| man| right hand
Is there an adult on the motorcycle in the poster for Easy Wheels?,no,7377d327e9b7294fdb91127343e04240,60782e5d96ffa5469df519368752850e.jpg,,poster| Easy Wheels| adult| motorcycle
Is Glen E. Friedman's jacket zipped or unzipped?,unzipped,fc9ebf2e2f864094d3a6abd6d8674e34,76b808b06cade21af908295d4ba85e25.jpg,,Glen E. Friedman| jacket| zipped| unzipped
What is hitting the bongos in the Incredible Bongo Band cover?,hands,bea253af5c65cce9e682cde1771431a2,ab92c49c3ea80cd9d5cd7d9cfd9aa4e1.jpg,,Incredible Bongo Band| cover| bongos
What position are James Brown's hands in?,fists,8c94c8863a1dc12601f588064056198f,83a4bab7be67924ef060d07a3d41509c.jpg,,James Brown| hands| position
How many people are in this picture of The Marcels?,nine,04bf43de3fb9ec60e2d4ae2730ec26a3,5a9ef5ad435268910ccb969b65f760db.jpg,,The Marcels| picture| number of people
What style earrings is P. Susheela wearing?,hoops,66eb4368e9ce2866d826f0a388113c90,c1f513494d136adb6fdc46c6c68bab0f.jpg,,P. Susheela| style| earrings
"Is Plamen Iliev (footballer, born 1991) wearing green?",yes,c22fa469de500495cde9e49c19fafb4e,493b975079251832a0051530c9c122c6.jpg,,Plamen Iliev| footballer| born 1991| wearing green
What type of ball is the center of the FC Bolosani logo?,soccer,4fe987d30eff1647e86e30f858267ffc,b1796537b2cc6d4160db71c9db84116b.jpg,,FC Bolosani| logo| type of ball
What is the main color on the cover of Kicking and Screaming (1995 film)?,green,e9e7af0a85bfe062956f1b070e486bce,50e4e67ec43a9b3d04a1753014523370.jpg,,cover| Kicking and Screaming (1995 film)| main color
"Margot at the Wedding has how many main characters, as portrayed on the front cover?",3,890daca84ae6e9abf9529097b7185e08,f157d90cbf0be2a3aca03f5358d7fbd9.jpg,,Margot at the Wedding| main characters| front cover
What type of outfit is Wes Anderson wearing?,suit,4a012b0163ce8530bf8760511d269d4f,b77b43e24165e65c65965be5e59e2b3e.jpg,,Wes Anderson| outfit
How many people are on the advertisement for Solarbabies?,6,ff47f2e753a2a5825174438fd981716b,2458566ce8c92acf817097e7410be082.jpg,,advertisement| Solarbabies| number of people
What are the men wearing around their necks in Dil Jo Bhi Kahey poster?,ties,083b166c958a6479df5195ec55680460,2ed77a19eee35fc4722cc2183eb47ad0.jpg,,Dil Jo Bhi Kahey| poster| men| wearing| necks
What color is the woman's hair on the top of the advertisement for True True Lie?,blond,ab5b1e945e030bcb84f638050605ee2c,31db827673cc254553e9c3d2ba381611.jpg,,advertisement| True True Lie| woman's hair
What body part is on the front cover of As Real as It Gets?,hand,0d057428fb6a3fd99797cefdb845ef11,8a73cc3f7a2d18b0534df7a8f552d643.jpg,,front cover| As Real as It Gets| body part
What sport is Maria Kharenkova participating in?,gymnastics,95547e88fe5b762e4583375da84acd3a,97498be4d2019592666adf21e4af230a.jpg,,Maria Kharenkova| sport
What color is the portion of the mat that Lilia Akhaimova is standing on?,white,2f94454039f886628e87c36a4e2afa0c,34a09079afe87ab8ecb3a5aab5134cb0.jpg,,Lilia Akhaimova| mat| color
What hairstyle is Maria Paseka wearing?,bun,6e93cfddb4d618c783245ab32c6f341a,34a09079afe87ab8ecb3a5aab5134cb0.jpg,,Maria Paseka| hairstyle
What is covering Viktoria Komova's forehead?,bangs,1718c48e4ec8cefab50e30adddc3f738,09a793e5396672a3b336a0cd8e981584.JPG,,Viktoria Komova| forehead
What is floating around the two people in Slumdog Millionaire?,confetti,6eaff02e7a4e8da95cd67e4021d98c6d,c079c9a0dd3ab65f245abe6a7909834a.jpg,,two people| Slumdog Millionaire| floating objects
What is in the center of the logo for Alliance of American Football?,football,c62600f3a571cbb38bd66e124be5ec8a,bdd4045cf2e6928dcaebbefa2aff3ab0.JPG,,center| logo| Alliance of American Football
Does Biohazard (band) perform live?,yes,03fcd384671ac52f7efc39f5a3be92db,c846ffa2c93ea65e3fea8a78e482c324.jpg,,Biohazard (band)| live performance
Are the Transplants (band) giving an indoor or outdoor concert?,outdoor,bae81d7cfc1689353f90851dc0c8828f,d414550c07524ed2b1b359a6cc20f4b2.jpg,,Transplants (band)| indoor concert| outdoor concert
What color shirt is Tommaso Benvenuti (rugby union) wearing ?,blue,3ff0574ce7020df4a809ade7543d2f01,31045ddb57601f4e6743c266f211d029.jpg,,Tommaso Benvenuti| shirt| color| rugby union
What type of shoes is Takudzwa Ngwenya wearing?,cleats,d9ff3439677437f743e3d6b1122a76b8,0433c434de010e3cef00736193f55b4a.jpg,,Takudzwa Ngwenya| shoes
What sport is Jonathan Sexton playing here?,rugby,ecc0ee1f35c325597bcf209174e40dca,3b2c5e8957b8e717e06f77f4509bce12.jpg,,Jonathan Sexton| sport
What type of pants is Ben Foden wearing?,shorts,a86332e817d902400866ca11e12e1444,45edb28a63bdf2cb73ade1251dbfc921.jpg,,Ben Foden| pants
Is Marvin the Martian shown on the poster for Bugs Bunny: Lost in Time game?,yes,5c751696e76db5161604e2d5c2d3f278,bc07697c48eb71d05cb753029854acb3.jpg,,Marvin the Martian| poster| Bugs Bunny: Lost in Time game
What is Elmer Fudd holding?,cane,5a2697a71ac83f0776b4495cabde19dd,b94e450a133f0181bd61e15d55cce562.jpg,,Elmer Fudd| holding
What color are the gloves worn in Muttley?,red,d7051b92c135cd457fb53ace3a0caa65,bea5c360471736685631604ee435357c.jpg,,gloves| Muttley
What is the woman on the Almost Famous poster wearing on her eyes?,sunglasses,1cb81000e30369eeb33654a9f653e7e6,80d1a51798234b38705e34c494c7af1e.jpg,,Almost Famous poster| woman| eyes
"In Torpedo, what is in the diver's right hand?",harpoon,62f67108c087d149c3d245e913660bd9,677da39c16d0fdd02a2212b5bfc615a9.jpg,,Torpedo| diver's right hand
How many people are in the Reservoir Dogs poster?,five,b44e0cf530d532c59e7fdd9a59f391c1,5ca6df080a99ad641a6cc0d6db0ec09b.jpg,,Reservoir Dogs| poster| number of people
Is there a rocket in this photo of the Geosynchronous Satellite Launch Vehicle?,yes,38d56076632cae4ce6b97c49afda00f5,652e945d825eb863efcd13a28d5389fe.jpg,,photo| Geosynchronous Satellite Launch Vehicle| rocket
What color dress is the woman wearing in the Tanu Weds Manu poster?,green,b903b91a9cb9a72b45113055adba7658,451c9381bc9a08d21be71f88247d3505.jpg,,Tanu Weds Manu| poster| woman| dress color
What color dress is the woman on the right wearing in Nil Battey Sannata?,red,9d3d8ad4942b1bb99e30c438e67e0798,cd073e0013008789172eadda0a5b8d78.jpg,,woman| dress| Nil Battey Sannata
"What color is the woman's hair, who Romeo is kissing?",orange,55d097da2debadcfdde6e3c6f7953dec,c3bf2c43dc3033bc42c1bdf1b1094743.jpg,,woman| hair color| Romeo| kissing
Does William Shakespeare have long or short hair in this image?,long,b95286acbb525edd9a1171deef37ee48,de96c4d6d19043825699f61f92611cc5.jpg,,William Shakespeare| hair length| image
How many columns are at the front of The Old Vic theatre?,6,969c35c3a4f152107d2b6eaf4b552697,3943d9bd04908c37ee9caef7c0390fa2.jpg,,The Old Vic theatre| columns| front
Is Manon's clothing shiny?,yes,7a519bb802d41ef1b76c704bc4b32cd4,34a09079afe87ab8ecb3a5aab5134cb0.jpg,,Manon's clothing| shiny
What is Don Giovanni holding in his right hand?,sword,3a54edd73657b7508a9e60575b002f2b,ea9700938c1e6f85a08949f0c5c25527.jpg,,Don Giovanni| right hand
What color undershirt is Wolfgang Amadeus Mozart wearing?,white,6966304e203aac28b259671c44d3ca3e,3943d9bd04908c37ee9caef7c0390fa2.jpg,,Wolfgang Amadeus Mozart| undershirt| color
What kind of structure depicted in the bottom image of the San Francisco Bay Area collage?,bridge,217469315ba1763765d35978e6699946,bbe5c044ae8a0e2854dfda0ed5f57e9c.jpg,,structure| San Francisco Bay Area| bottom image| collage
How many members of Grand Funk Railroad have long hair?,one,19552d5b2f6c96265e8b327a988d79ac,3eb2d26fdb6e3fbc8ea31a1bbcb9fb56.jpg,,Grand Funk Railroad| members| long hair
What color hair does Jackée Harry have?,black,182c182363f77cb56504d4c19dae56dc,c3bf2c43dc3033bc42c1bdf1b1094743.jpg,,Jackée Harry| hair color
What is Regina King wearing on her head?,headband,56d229bc6428c1909f95df538950ebb9,17493932955508ebb9a1fb666813430a.jpg,,Regina King| wearing| head
"Of the clothing that Vijay Amritraj is wearing, which piece of clothing is striped?",tie,246ed94f09db711d85c36b3ada80aa1b,b7793bf59693e69a246f2b80835cb644.jpg,,Vijay Amritraj| clothing| striped
What is on the wrists of Arthur Ashe?,wristbands,80b9da7ee2e0436ed43bf6c4be6285e5,4d123a10f5eae7627b769bc3c00835be.jpg,,Arthur Ashe| wrists
What is directly behind Brad Gilbert?,fence,b10a9f981a385afef039b94ae26942ac,27d6e5f307bf7970eeee7e80b2080585.jpg,,Brad Gilbert| background
Does Dries Mertens have his mouth open or closed?,closed,a81f75bdeaa7b0a15c41dbfa69696c07,eb088ccb8f64bac49c28c87cc1080ae2.jpg,,Dries Mertens| mouth open| mouth closed
What gold shape is on the upper right jacket of Suso (footballer)?,star,aeda90835f1790f8962cd41a70d6bc35,e922b12c4ca5a77742ab4917dabc28b9.jpg,,gold shape| upper right jacket| Suso (footballer)
What direction is Rodrigo De Paul wearing his hat?,backwards,7475a2210f7f3e3556ab964c35261cbe,eb088ccb8f64bac49c28c87cc1080ae2.jpg,,Rodrigo De Paul| hat| direction
What type of piercing does Manuel Lazzari have?,ear,897f52c139bd67b0453648ef089f753b,93ecb3327301686253130b29dd34707d.jpg,,Manuel Lazzari| piercing
What is Julianne Moore wearing around her neck?,necklace,fffeb86b582502524ae6d97ef8383069,f5a363e5cb077d1bf2238e35a5ae6dda.jpg,,Julianne Moore| wearing| neck
What is Billy Joel doing to indicate that he is happy?,smiling,02083fab499fc23081c1bec576785c13,5a7542711f40e293a719718ea1bd23b4.jpg,,Billy Joel| happy
What shape is in the center of Viduthalal Chiruthaigal Katchi?,star,e7a17bf9eb43fbe95843f682a03b0eb3,c885e46c800445680331fe275ed2885d.jpg,,Viduthalal Chiruthaigal Katchi| shape| center
"How many different pictures of Albany, New York are there?",six,84471b0e29e7b5622512f1a907ffc57e,bbe5c044ae8a0e2854dfda0ed5f57e9c.jpg,,"pictures| Albany, New York"
What color is the uppermost bracelet on Alonzo Mourning's right wrist?,yellow,19861097f6032aa572d31ca3549c38dc,1103fa7493654eb4d69b08b2591b6f8a.jpg,,Alonzo Mourning| right wrist| bracelet| color
What is on the necklace that Glen Rice is wearing?,cross,16c89325a88683d6ffa161ed0d72744f,7238acc530d329135eec637f655c3cc0.JPG,,necklace| Glen Rice
What can be seen on the distant mountains of Namdapha National Park?,snow,ed658358171782df5b6fa5c03a7559ad,12f6476a03c8a267ba0390f1312586fc.jpg,,distant mountains| Namdapha National Park
Do rhinos live in Kaziranga National Park ?,yes,ea5dc8587fdbc88fd245a6cc261bc128,c3efdff6584cfc7a422b22bc9c6b1f7a.JPG,,rhinos| Kaziranga National Park
What item with two posts is seen here in the 1978 Amco Cup?,goalpost,a296a8ed3520f3aaa14ecc22b953fed5,a462cabbca835661302bc584aed9c6cc.jpg,,1978 Amco Cup| item| two posts
Is there a field of green present in the 1980 Tooth Cup photo?,yes,af6382b9a97512324115ab7e40c9d6af,45450184cb39b915dd3f50dee388eec5.jpg,,1980 Tooth Cup| photo| field of green
How many TV screens are visible in the photo of the 1989 Panasonic Cup (rugby league) field?,one,a290345f4bfbf52c2ae129ed1ae3f7e9,a462cabbca835661302bc584aed9c6cc.jpg,,photo| 1989 Panasonic Cup| rugby league| TV screens
How many petals are on the flower in the Brisbane rugby league team logo?,nine,59424e6d811a38b7618696609ff17a48,5979859722e74c62694b521bc7847798.jpg,,Brisbane rugby league team| logo| flower| petals
What is the background color of the Angry All the Time cover?,black,eacbff5b7f3d2838fd81d3c21e13f54c,a57090a83f30f2d3e5bdd025348991c1.jpg,,background color| Angry All the Time| cover
What portion of the KK Cibona logo is missing?,fourth,56686c2721f5185422d886843c46f416,f8140e8af08ce8316e72e15a17f9d04a.jpg,,KK Cibona| logo| missing portion
How many women are wearing pants in the cover of Rap-Up?,one,ddd5f8da9f80a0761b127c3e240e4040,e93f8c02d48f1081a00a15995cbbbaa1.jpg,,cover| Rap-Up| women| pants
Are there mountains in the background in this photo of Rasen-Antholz?,yes,8767d6a21d960a41a392aa12b8bb14e8,a72b2a9d655e858fb80672898ed0a674.jpg,,Rasen-Antholz| mountains| background| photo
What kind of structure can be seen on a top right picture of Jyvaskyla?,bridge,60514549a65e823aa7066e4d4556b8b8,e93f8b6d99827f1142e5f9e6ffae6328.jpg,,structure| top right picture| Jyvaskyla
"What geological feature is seen in the background of Canmore, Alberta?",mountains,08e0eb017ba996d04e9c75114428fd45,9c5f897b14b31f705070d3d10f5474f4.jpg,,"geological feature| Canmore, Alberta"
How many characters are in the painting Twelfth Night?,3,8d65d56091cc13f16fe1043745198994,ea9700938c1e6f85a08949f0c5c25527.jpg,,Twelfth Night| painting| characters
What shape is the red thing next to Taylor Swift?,heart,06b20247b254715e56dce63791481df1,a0cbbf0665b2690f6a51af2710944952.jpg,,red thing| Taylor Swift| shape
What type of structure is above the water in this advertisement for Castle (TV series)?,bridge,06860a2886e322ba88deb4d2ae7266bb,058d9aaca8ffa7c41e4650e73edc353f.jpg,,advertisement| Castle (TV series)| structure| water
How many people are displayed on this poster for 28 Days Later?,one,947e0a6276f9f0e12a7b2f85d9cf8b7e,3041e7962e5f47286982cbf0432eb735.jpg,,poster| 28 Days Later| number of people
What kind of expression is on the face of the  woman in The  Bodyguard World Tour?,happy,10a64187b134156ef25069ba18f399fd,c3bf2c43dc3033bc42c1bdf1b1094743.jpg,,woman| expression| The Bodyguard World Tour
What facial expression does Adele have on her face?,smile,7ff0905e0c4242160ec3c40b59a2b487,8cff20b49abad5c6e0121930629a81f2.JPG,,Adele| facial expression
How many people are present on the The Great Gatsby (2013 film) poster?,six,717b9622d97becb987e3ff8f19e5fcd7,3ffe11b9af8792cbebbb987a69510b6b.jpg,,The Great Gatsby (2013 film)| poster| number of people
What is Daisy Buchanan wearing?,dress,6c7f566f0662ec1b97f2d5b95c7a4976,3ffe11b9af8792cbebbb987a69510b6b.jpg,,Daisy Buchanan| wearing
"What length of hair does My Church have, short or long?",long,a7ffdde34c24833473a382cf9cbee874,18aa4eb89011632348458b398b47e758.jpg,,My Church| hair length
What color is the background of the I Told You So (Randy Travis song) poster?,black,6e3df75df6440d8e4633838bc459ecc3,171d11c86df04af00c81652cb71f9886.jpg,,I Told You So (Randy Travis song)| poster| background color
What is in the ear of William Shakespeare?,earring,b95286acbb525edd9a1171deef37ee48,de96c4d6d19043825699f61f92611cc5.jpg,,William Shakespeare| ear
How many streams of water are seen in the fountain in front of Lyric Theatre (Hammersmith)?,twelve,5efa8a7f6a11def76e2d39030d622110,3d2e39ebefd15d4c8af51d335d20ed4c.jpg,,fountain| streams of water| Lyric Theatre (Hammersmith)
What sport is Kirk Hinrich playing?,basketball,a48805beb5b3eb40f563d5c04bb6f0d7,4e1fdee549c0b356681f07ca311f2d2a.jpg,,Kirk Hinrich| sport
What does Dennis Bergkamp have around his neck?,scarf,e76344027502bbcef77d7cb10df55d24,7e965874d9e671814948de7a192716f3.jpg,,Dennis Bergkamp| around his neck
What item is positioned directly in front of Michael Laudrup?,microphone,194809106165e7bd9a0dbbd15fcc4d33,431d42e8444d73432832c2290043a17e.jpg,,Michael Laudrup| item| position
Which foot is Jean-Pierre Papin about to kick the ball with?,right,839ea9b4e3da4487c7bb3070d8483e0a,b7793bf59693e69a246f2b80835cb644.jpg,,Jean-Pierre Papin| foot| ball
