query,answer,image
What is Billy Joel doing to indicate that he is happy?,smiling,02083fab499fc23081c1bec576785c13
What shape is in the center of Viduthalal Chiruthaigal Katchi?,star,e7a17bf9eb43fbe95843f682a03b0eb3
"How many different pictures of Albany, New York are there?",six,84471b0e29e7b5622512f1a907ffc57e
What color is the uppermost bracelet on Alonzo Mourning's right wrist?,yellow,19861097f6032aa572d31ca3549c38dc
What is on the necklace that Glen Rice is wearing?,cross,16c89325a88683d6ffa161ed0d72744f
What can be seen on the distant mountains of Namdapha National Park?,snow,ed658358171782df5b6fa5c03a7559ad
Do rhinos live in Kaziranga National Park ?,yes,ea5dc8587fdbc88fd245a6cc261bc128
What item with two posts is seen here in the 1978 Amco Cup?,goalpost,a296a8ed3520f3aaa14ecc22b953fed5
Is there a field of green present in the 1980 Tooth Cup photo?,yes,af6382b9a97512324115ab7e40c9d6af
How many TV screens are visible in the photo of the 1989 Panasonic Cup (rugby league) field?,one,a290345f4bfbf52c2ae129ed1ae3f7e9
How many petals are on the flower in the Brisbane rugby league team logo?,nine,59424e6d811a38b7618696609ff17a48
What is the background color of the Angry All the Time cover?,black,eacbff5b7f3d2838fd81d3c21e13f54c
What portion of the KK Cibona logo is missing?,fourth,56686c2721f5185422d886843c46f416
How many women are wearing pants in the cover of Rap-Up?,one,ddd5f8da9f80a0761b127c3e240e4040
Are there mountains in the background in this photo of Rasen-Antholz?,yes,8767d6a21d960a41a392aa12b8bb14e8
What kind of structure can be seen on a top right picture of Jyvaskyla?,bridge,60514549a65e823aa7066e4d4556b8b8
"What geological feature is seen in the background of Canmore, Alberta?",mountains,08e0eb017ba996d04e9c75114428fd45
How many characters are in the painting Twelfth Night?,3,8d65d56091cc13f16fe1043745198994
What shape is the red thing next to Taylor Swift?,heart,06b20247b254715e56dce63791481df1
What type of structure is above the water in this advertisement for Castle (TV series)?,bridge,06860a2886e322ba88deb4d2ae7266bb
How many people are displayed on this poster for 28 Days Later?,one,947e0a6276f9f0e12a7b2f85d9cf8b7e
What kind of expression is on the face of the  woman in The  Bodyguard World Tour?,happy,10a64187b134156ef25069ba18f399fd
What facial expression does Adele have on her face?,smile,7ff0905e0c4242160ec3c40b59a2b487
How many people are present on the The Great Gatsby (2013 film) poster?,six,717b9622d97becb987e3ff8f19e5fcd7
What is Daisy Buchanan wearing?,dress,6c7f566f0662ec1b97f2d5b95c7a4976
"What length of hair does My Church have, short or long?",long,a7ffdde34c24833473a382cf9cbee874
What color is the background of the I Told You So (Randy Travis song) poster?,black,6e3df75df6440d8e4633838bc459ecc3
What is in the ear of William Shakespeare?,earring,b95286acbb525edd9a1171deef37ee48
How many streams of water are seen in the fountain in front of Lyric Theatre (Hammersmith)?,twelve,5efa8a7f6a11def76e2d39030d622110
What sport is Kirk Hinrich playing?,basketball,a48805beb5b3eb40f563d5c04bb6f0d7
What does Dennis Bergkamp have around his neck?,scarf,e76344027502bbcef77d7cb10df55d24
What item is positioned directly in front of Michael Laudrup?,microphone,194809106165e7bd9a0dbbd15fcc4d33
Which foot is Jean-Pierre Papin about to kick the ball with?,right,839ea9b4e3da4487c7bb3070d8483e0a
What type of ball is on the FC Barcelona logo?,soccer,ad20afe31bcbfb2836998dbfa0ddbfa6
What instrument is the singer in The Lovely Eggs playing?,guitar,7843f506e2c0e303ae2e6fa344a82067
What instrument is being held by the woman on the left in Haiku Salut?,guitar,c8ec8a07913d7d8c1da9534b969ca4a3
What does Helen Love have in her hands?,beverage,e332c859c0937f1937b54e814cb88e5c
What color is the exterior of the Almeida Theatre?,white,e980eca9951d60fe14bcd2b5425bb7aa
What time of day is it at this Broadway theatre?,night,2b2fa3beeaba99e6498af935bc6086b7
What type of animal is at the top of the British Racing Motors logo?,bird,86506c6e4f982b730f0a14a1c7ab9b0b
What are the men wearing on their heads in Northfork?,hats,8e8a25c6143750f3269b451d39213681
"What is the hair color of Carol Reed?""",brunette,4807275d3625727d6b959efb22ad148f
How many statues are visible on the building in front of Murcia?,two,9975f93834166e70263e5f8df581c7d2
What facial expression is Reba McEntire making?,smile,0f76453a5f76e22a9fcb5909cead051d
What does the man have loaded in his bow on the cover of Brian's Hunt?,arrow,3df7936a4cb65118a456b738f476ae70
What facial expression does David Baldacci have?,smiling,79612e154d8e3cb774e116524c723889
What color is the award from the Filmfare Awards?,black,63f61b6ed134c164e767d139059cf626
How many different people are seen here for the Filmfare Award for Best Supporting Actor?,two,66e43b987863c88295c6a3464b525681
What is Virginia Ruzici wearing around her neck?,medal,c794d4a64dadb6c4ea02e1797af86cbe
On what surface is Martina Navratilova playing?,clay,10b8e48182486a3da252cc0eb6c7a80b
What does Manuela Maleeva wear around her neck?,neckless,85c0e667c19899e57de4593337b88120
How many necklaces is Pam Shriver wearing?,one,1879c9f1a36102a9174c458b418c8d95
What direction is Monica Seles looking?,forward,7d7e4f56a0a4c949be6efc927ca2759c
What type of facial hair does Graham Hill have?,moustache,dc66961601133f0b26f44d0f69bada1c
How many characters are on the cover of Dream High?,eight,fa8a146bc6f824a7cf62e1b62ac579fc
Is this photo of Norman Mann modern or historic?,historic,38060859edfbd9ea51948b9a9876a588
Is this Washington Lions logo in color?,no,ecb3dc92895c729e09a77e90e75467f0
What is the animal in the middle of the Providence Reds logo?,rooster,7a536e03eb3a437d53e9504f8b8121dd
What facial hair does Paul Blart: Mall Cop have?,mustache,0b94245596940d1ab44df4bf05ce6e42
Does the poster for Little Boy (film) show a child's silhouette?,yes,86119609fb37222c24b483e560335b3d
What is Sandy Wexler wearing on his face?,glasses,88304e1569022060cbd45543b536b390
What is to the left of Carrie Underwood's mouth?,microphone,c9c97cbc77353164913fcf9082ec76d9
What is the main color of the Tennis ball?,green,fbbe88820de6a54597b1f278ff75316d
What color is the background in Swarnakamalam?,black,211bd3bce51045928e5491484e7f50b3
Does the man on the Muthyamantha Muddu poster have facial hair?,yes,de3de9984625c39dcd31823326d184e7
what color is Rajendra Prasad shirt,white,05ce43caeccf4bfb1e09c4621396ec38
What is Bapu (film director) wearing on his face?,glasses,95050cd6ab58835c141913a36865bc91
What instrument is James Taylor holding?,guitar,eccebef37f68d94084d584ea2e963754
How many people in this photo of In the Heat of the Night (TV series) are wearing a suit?,one,2054ae4dca7a9b8c5df750eea462a518
Are there any trees near Kew?,yes,476978f3763dd2ae538420e2653f350a
Have the Eurythmics done any live shows?,yes,1b56673db55e0e521a313ada3957b7c0
What color is the outside border on You Stole the Sun from My Heart?,green,549e683903bbc09d3d0a774598d076b1
How many pictures of Whitney Houston are on the album cover for It's Not Right But It's Okay?,four,26b572bdc5c36490baab3b178dae5d7d
What kind of car is featured on the Ready Player One (film) poster?,delorean,3f80e0e4fa638730ed5e6f1f02f8dcaf
what is main color of Carol Danvers outfit,blue,4ac9a1e0c37c639aa7ce76ad7dc49872
What is around Bob Dylan's finger?,ring,f5cbf925ab8a92bed75b9ad81fffe656
What is over the ears of the man on the left who is playing Hip hop music?,headphones,2a5021901574f113f445c018cc3b13a5
What is Miguel Cabrera wearing on his hands?,gloves,ff76c187e094be46f175e5c731509d9a
What animal is seen in the Calgary Wranglers logo?,horse,862fffb2418902b42e48f82bfc0bc455
What is the main color in the Calgary Boomers logo?,orange,7bf7ea3f38c065ae1d8487ae6417b156
What color is the background of My Three Sons,blue,2e74be131b014c9b79ae8f3bceaf9ed4
what is Simon Pagenaud holding in the air?,hand,be6e7084a8f407ae043980031fe5de6a
What is Giorgia Rubino wearing on his left wrist?,watch,842c909551f5c741acfe0795fdef1f19
Does Michele Didoni's shirt have sleeves?,no,15cc00cd0948a05254e1ce56342a1e81
What kind of shoes is Alessandro Pezzatini wearing?,sneakers,e8fa5ddc27d46da7b31154d494bfe3c6
Is there a body of water in this photo of Lugano?,yes,ce74c5c019b989b197c8c15bd388c629
What color hair does the person on the Walk with Me (Monika Linkytė album) have?,blonde,1371b12c3f28f9e389a0e96abcfdd190
Is Karai (Teenage Mutant Ninja Turtles) in this image?,yes,74d6e1d36847a1e6e8e8b4d9a9f6d96a
What kind of ball is featured on the KK Krka logo?,basketball,0483a438e5f39b9e59de3f9e15870bce
Does Robert De Niro have thinning hair?,yes,e82056d716b0bbbe12c62dd0c27501af
Are the colors of the American flag present in the logo of Club Atlético River Plate Puerto Rico?,yes,39790cbe52e400b77427236d15b9b0f9
What type of ball is in the Liga Nacional de Fútbol de Puerto Rico logo?,soccer,3b7dd8b73948f3dceff74f6f2b4a6de0
What is on the shirt of The Great Khali?,ribbon,b22d98409a61713661c1071b05dcbab8
What is Chris Benoit wearing on his chest?,nothing,ccb88c88d164154335f30f6c39b363c6
Is River of Wine based in America or Asia?,asia,a6829966713a0ff17747fd677c81ed47
What kind of stick is Eric Boguniecki holding?,hockey,1c07ac1fe48a55e812a1bc79fa93db77
"In the poster for Hot Fuzz, what is in the hands of the person on the left?",guns,b41703e0820229bfb7da27e20b11c66e
What yellow assistance item is located just inside the door of the Gillig Low Floor?,handrail,17726b687f67c2d4bfcfe90a21674919
What is the silver thing that is latched onto the tank in Diesel fuel?,lock,74fcd61e28f852ab05a894a50a199683
What color besides blue makes up the logo for the 2011 New Hampshire Wildcats football team?,white,98d9514760c7e4e3fe4b53c204c15d90
How many jerseys were available for St. Louis Rams in season 2001?,two,6a2d958e4ae06afdcbc23a26d985e93b
What brand of shirt is Nicola Caccia wearing?,puma,2a7739ad645a1fc841244ccd8c4b4ee0
What is the center object pictured here that is related to  Goran Vlaović?,medal,43ca9347d19ca6c43373693827521011
What color is the tie that Kennet Andersson is wearing?,black,b019d3b4db531e06efd5201123aa07aa
What kind of hat is the Leigh Centurions mascot wearing?,galea,ffc67692ad16c38b969402d9ae187856
How many people are playing the board game on the table?,four,39dc497d36478b0d0d2cacd9bd0f9ea9
Are Simon & Garfunkel playing outdoors in this picture?,yes,9e972f19ba7f2b583674b48d36399325
What is located in the middle of the white circle with a blue cross on the Queensland flag?,crown,f6909224eb6c005422b55367e78a299c
What shape is encasing the bird on the flag of Western Australia?,circle,4fbb7040e9dc9f3b5677f20a71ca72bb
What is Erfan Zeneli chasing?,ball,a9957e3d1171e055b782469ffef573cf
What is Mike Havenaar wearing on his hands?,gloves,b275623ac6c692f19d4dad4956f9d662
Does Gideon Baah have facial hair?,yes,02947322506f5f839b394c2015c333ec
What is Tapio Heikkila wearing on his wrists?,wristbands,c920d083a4855154f28df2bfe12e51fd
What type of facial hair does Omar Jama have?,moustache,e200f1aaa31bbebb1844ee7304c649ca
What is the pattern on the ground below Mario in The Adventures of Super Mario Bros. 3?,checkered,b80563f8de9860ca5d5b99d287280077
What color is Bowser (character)'s hair?,red,2a9670077e3ad8d5dd25a782f877d5a9
What is on the trophy that Tom Quealy is holding?,ribbon,6b076a5444f673d7c6b364e7d93f4f89
What type of jewelry is featured in this ad for Army Wives?,ring,0400e8dd0fb939a72f34f1b75c8265f8
What kind of shirt is the girl wearing on the cover of The Hate U Give (film)?,red,7a0565156ada0c0320fba7a4b83439c9
What is the large object in the middle left of Aria (manga)?,windmill,adf9637a449938d75d8d4a0c69edd4bd
How many red stripes are in the Bank of America Stadium logo?,eight,0af43d695e0fa436b1c1dfc150d48182
How many women are on the poster for The Wolverine (film)?,two,125f89b37bec989af6a4ff6a60faeb1c
What logo is on the pants of Courtney Okolo?,nike,b6bcedc1b0be14736478c74aa08cad71
In the midst of what action is Shaunae Miller-Uibo immortalised?,running,163c5da52cdf757029aee90ad6f96317
What leg is off the ground in this photo of Olha Zemylak,right,9a8b3879828e92b95b6c478db65a58e9
What is Chrisann Gordon holding in her right hand?,baton,d5b43ca18a2c78f27ade50d5eb8c6b01
What is Morgan Mitchell running on?,track,81f60493e2fd56d3616585aecbb28013
What position are Gary Zukav's hands in?,folded,a13181b92f041a81f4dcb5d02cb19b32
What is resting on Deepak Chopra's nose?,glasses,0f69fc263a48807f919b50b853d2c1f9
Is this picture of Margaret Court in color?,no,c3098661477a7e46f87d3f229f608fbd
What is the man on the left in this picture with Fabio Castro wearing on his head?,sunglasses,a8bde0ed60fdcf8d5f28bba3dc4153c1
What is Christopher Dean wearing on his feet?,skates,616e967c1367be113949ab58e8a44e85
What color suit is Josh Groban wearing?,black,3e7945352b1a63f1c317ea55f7ebb335
How many different uniform options are available for the 2014 Montreal Alouettes season?,three,d77ab3de05854fff3d2741f546a96bc9
How many different jersey types were there during the 2014 Saskatchewan Roughriders season?,four,4ba4aa82aff79b11a3da6ef434192dfe
"Aside from black and white, which other color adorns the uniforms worn duing the 2014 Calgary Stampeders season?",red,3f4c1ecbd1e562f944be1a53cf3af900
How many uniform options are shown here for the 2014 Hamilton Tiger-Cats season?,three,7057b6d34966071d3329ce670f1353a7
How many uniforms are associated with the 2014 Toronto Argonauts season?,three,3f380e7a3597b27d39a34a4eb485ae3d
What shape is the background image of the  Yes Boss (TV series) picture if the corners were flattened out?,square,89b66aa37193ab1bf3ef753ffaad88a8
What does Beyoncé often hold in her hand while performing?,microphone,21d515705cceefea3f579fd281d07dbc
How many men are seen here in this advertisement for the Screen Awards?,two,0bb28c519f83f502b8962d75652f7dab
What gender is this person that is up for Filmfare Award for Best Director?,female,807bce8eee4f468277064705ca64a34d
What type of apparel is Shah Rukh Khan wearing?,suit,55bba20dd5edce505910342b8affef05
What solo part of nature is visible on this picture for Six Feet Under (TV series)?,tree,ce1be8ddb89742a246d26a0da2731e1e
What does Ted Walsh have on his face?,eyeglasses,9fadbf39d686a41f43d11dae1235938d
How many flags are visible on the Six Flags Discovery Kingdom logo?,six,98404c6d34b84d9047e9826c6a29cf78
"A statue in Richmond, Virginia features a man riding what type of animal?",horse,6678605c214548a9683bfcb502376e7b
"How many photos make up this collage of Raleigh, North Carolina?",eight,e32580c561d3c7595943e1dfd352807d
How many triangles are present on this flag the Scottish people use?,four,e25a874f17a66cf5530621b9d069d5a9
What color is the inside of the text in the cosby show?,white,f38da8683114d82a2fc5aaa66447a4e9
Is the background to the Person of Interest (TV series) poster colored or colorless?,colorless,304283ec66ecfbd88cbae4e07d4922de
Are the little girl's eyes open or closed in this advertisement for Homeland (TV series)?,closed,b9343eb890f898f8a8b4d6d8709dcc89
What color is the ring in the 2009 NFL season logo?,red,d19d1da052ddb481b4309b1f043390cd
What color do both teams have in common in 2010 NFL season?,blue,fa414ac2db6b3677d27325e5f184b8e3
On which arm does the man have a tattoo in 2013 NFL season?,right,194c57196f762e916c790469e5b0abba
What is this person from the 2016 NFL season wearing around his neck?,tie,1c7e8ec5983003dacd256feebd809d98
What is Michael Schumacher wearing on his head?,hat,2f873d8e7e392d6a1b168b945ff9a1a8
What is Celine Dion wearing on her wrists?,bracelets,39b35178165c4a5e874d012773193712
What is Tom Okker wearing on the outside of his polo shirt?,sweater,a4d6a1387bd8606423136878e323380d
What is  Valtteri Bottas wearing on his head?,cap,d1f85ffbdc248cdd8d0e161e1ddbd71e
"What mode of transportation is featured in the upper right corner of this photo collage of Kansas City, Missouri?",train,7aeba59625f2943e29114281c0962823
"How many statues are shown in the bottom left picture of Rochester, New York?",one,82cc9731d44fec0bc2dbe85ef33acc9d
"What kind of body of water runs through Troy, New York?",river,af4395600fe137533092257516236124
How many photos make up this collage of Houston?,nine,8cde2f85b5d23b4b2eb5716e0d940023
What color are the flowers in the foreground of the San Francisco bridge?,yellow,c2044be7619dc8fa4fb7ff3956c91e94
How many people are in the painting Rosalind (As You Like It)?,one,671f0c6d5e5d44768419cd5975030e50
What part of nature is surrounding St. Ann's Warehouse?,trees,b3545e799e30c8a87a59a55715812b8d
What color is the outer ring in the logo of Fajr Sepasi Shiraz F.C.?,yellow,066ac77766808eeda3a4015f2aa144ed
Are the leaves purple in Rasht?,yes,d134fc0aa538c14f1e726fc0fb764aba
How many uniform options from the 2013 San Francisco 49ers season include tan pants?,two,b90def2279986d3e905d72348725698a
What is the hand on the right in front of the microphone holding in his left hand in the 2013 Seattle Seahawks season?,trophy,a21c2bf551aa41f4311a819d9fc1f5d3
How many people are running the 400 metres race?,9,78536b542fda80b7e28370e03be1e791
What is the man in the Hammer throw wearing around his waist?,belt,57d345acbfc636392d4656b685e216f4
Is public broadcasting available in rural areas?,yes,facaf8b3d5d8a8b05d5b50d494f1de79
What type of person is on the Gerber Products Company logo?,baby,2471de79891ff90b88d604d980416897
"Is the Ford building in Dearborn, Michigan over 5 stories tall?",yes,11c83f9255a2c44a05159e41095a7402
What color teeth does Goldie have?,gold,7dadf89e87a976f4fce44e351de950a3
What is in the ears of Fatboy Slim?,earbuds,1661f407d0c551a5a7e790f9de55ca22
What sport is Bobby Jones (golfer) engaged in?,golf,6423c206ed5d89bcabf4116fc792f3be
What color is Billy Joel hair?,grey,02083fab499fc23081c1bec576785c13
What is the man on the left holding in Pearl Jam?,guitar,147239f0f39254399cbd7291f16ceab0
Is Charlie Puth's hair combed or messy?,messy,195d66af95a1a0df57100eeaad9982a8
What shape is red in the BBC Radio 3 logo?,ciricle,8f5987661fa880bf8fc3e9283f53a055
What color is the logo on the left side of the top Nico Hülkenberg is wearing?,white,a6efb89f9bb09b34cefce8fee9f5a0fd
What type of pattern is the background behind P. Susheela?,checkered,66eb4368e9ce2866d826f0a388113c90
What does P. B. Sreenivas have around his neck,scarf,6d712d90c4c93b4765319c9d52bcbb8c
What type of attack is featured on this article in The San Bernardino Sun?,terrorist,2c72e0cc361ed33645740b40f177171a
Does Barak Feldman wear eyeglasses?,yes,15ddf62124806e670c4219310083a5a2
What is Rusty Wallace wearing over his eyes?,sunglasses,8efd7002c5e145a9a5f5cf5ab6eb19ae
What is Kevin Lepage wearing on his face?,sunglasses,e1625c89d733068a7587fe679cb111ba
What is the person behind Dale Earnhardt holding and aiming at him?,camera,b78df266d185cefbd7f4ae8e6f17fabc
How many people are on the poster for Home and Away?,two,3bf5208118cfdf42e939cd414eef192b
Is Peter Jackson bald headed?,no,10376342920dff778b4b100d38f8f2b7
What is josephine baker doing with her fingers?,pointing,e580ab222a31d52bd4992d40dd1bf548
Does coronation street show the top or bottom of a building?,top,450b38ea4878892809b162629204f150
Which hand does the man have tattoos on?,right,9e3f3aa95007f87a67976269fd37517f
"In the Chariots of Fire poster, what gender is the person seen in the upper right hand corner?",female,b4c86e43697c077ab6097e15e18ec5c6
How many photos make up this collage of Rio de Janeiro?,six,4dcad69cdbc6d6787bda154aaa4830ff
What are some of the people holding in the air on Step by Step (TV series)?,balloons,d29f0b2909abc7e11b7abde5bf37b73d
What shape is the Calcio Montebelluna logo?,oval,7cc1b63faa3d96806590de956511747b
What is at the top of the building in the top right in Rome?,dome,f815637d95193298f862c5001bc4c1a0
How many chains does Snoop Dogg have around his neck?,two,e5c0cf9e4066c26a5affcb012073b12d
What is Jeff Gordon about to autograph?,car,e14fef998ba0732ee0055fb68d2ecef7
Is Kevin Harvick's mouth open or closed?,closed,30a7fd09d9cbe84cd52c845b9bae0893
How many people are on the poster for Green Lantern (film)?,4,e9a0a0f30dd2ffb051299c68942943fd
What instrument is the man in the very back playing in Fall Out Boy,drums,16ef61d804847c65b49e132b47560934
What is the color of the big building with a clock in Nordmaling?,red,55282ece86fd726e35325665f847e7e5
"How many different pictures make up this collage of Birmingham, Alabama?",six,0586dbb6d2cb8e31d995954f0a407293
What is the sport is this logo of Crawley Town F.C. for?,soccer,38535587c87291af2915fa75a168e322
What color is the background of Lindsey Wilson College's logo?,blue,9a55b55bed5e334897519910d58e642d
What type of award is the Shamoushak Noshahr F.C. logo shaped like?,trophy,c25658e51e2b91f470fb28cde8fd4b9d
Is the collar William Shakespeare is wearing popped or unpopped?,unpopped,b95286acbb525edd9a1171deef37ee48
Waht kind of ball is on the 2.divisjon sign?,soccerball,542485f15b668987053ce9ea89fe3ae9
How many people are on the cover of Tres mujeres?,three,417654ed1d18bef7bef493f6775333b2
What is the hair color of this man who won Filmfare Award for Best Actor?,black,6fc8e18c4eec0634d408e84b797ef8b9
What color bag is the girl holding in student of the year?,orange,8e25975467cb5d86ec6f9f6a15726794
What mode of transportation is featured in the bottom photo in this collage of Copenhagen?,boat,f4b3caeb787706d2ad5e2fa8ead5c564
What is the player on the top right wearing on his hands in this 2012–13 Serie A match?,gloves,40a8798180441c5151b7467d22652807
What kind of body art is on the arms of LeBron James?,tatoos,79bea05a6f9e56d56fb458bb81ce7087
What does Bobby Jones (golfer) have in his hand?,putter,6423c206ed5d89bcabf4116fc792f3be
With what shape is the direction of the Circuit Paul Ricard depicted?,arrow,97e2580689531a76a97c2e469c188ca1
In what portion of the EFL League Two logo is the horizontal line located?,middle,97e36d22aebc632ca3bb06307a5e3be9
What is coming out of the eye of the man on the Storm of the Century movie poster?,lightening,2289f50bb6dc929b2fee85efe03880e4
What is the silhouette in the Mad Men logo holding?,cigarette,a8a6f7ca9448a3ab85917384fe18cfae
What type of tracks is the guy walking on in Hell on Wheels (TV series)?,railroad,d21ffa7e4cad81b3316a985b70ea7e1f
What animal is on the cover of The Littlest Hobo,dog,5d107bb5a4062da61c892620a2880928
How many red rectangles are on the flag for Canada?,two,a648b2cd489eef91c53d7f48b2733c57
What is Hale Irwin wearing on his finger?,ring,c55d6886540511c9dd5609f9699d3758
What handheld item is needed for the sport played by Chien Yu-chin?,racket,3ef4128c788411ef1be9d88544670cb5
What is Tian Qing holding?,racket,002ad31e8b0a89873242e9b3e6281ad3
What animal is on the flag flown at the Malaysia Open (badminton)?,tiger,fb77f93793830af3331f0a56304320b4
What color are Kamilla Rytter Juhl's shorts?,red,aa2d0cd1920a1b0def8fbf1cf6c7687e
How many men are present on this advertisement for Judge John Deed?,one,e1833999ee712ba537b52a85d02a36b4
