query,answer,image,image_path,sub_queries
Is there an adult on the motorcycle in the poster for Easy Wheels?,no,7377d327e9b7294fdb91127343e04240,7377d327e9b7294fdb91127343e04240.jpg,poster| Easy Wheels| adult| motorcycle
Is Glen E. Friedman's jacket zipped or unzipped?,unzipped,fc9ebf2e2f864094d3a6abd6d8674e34,c2914006ae153caf1bba7d4cb552956f.jpg,Glen E. Friedman| jacket| zipped| unzipped
What is hitting the bongos in the Incredible Bongo Band cover?,hands,bea253af5c65cce9e682cde1771431a2,bea253af5c65cce9e682cde1771431a2.jpg,Incredible Bongo Band| cover| bongos
What position are James Brown's hands in?,fists,8c94c8863a1dc12601f588064056198f,8c94c8863a1dc12601f588064056198f.jpg,James Brown| hands| position
How many people are in this picture of The Marcels?,nine,04bf43de3fb9ec60e2d4ae2730ec26a3,789db54b13e458202ce00cf67ecb4b22.jpg,The Marcels| picture| number of people
What style earrings is P. Susheela wearing?,hoops,66eb4368e9ce2866d826f0a388113c90,f4ec9c0ddb259c6e7bb6b8ed1c8f970d.jpg,P. Susheela| style| earrings
"Is Plamen Iliev (footballer, born 1991) wearing green?",yes,c22fa469de500495cde9e49c19fafb4e,c22fa469de500495cde9e49c19fafb4e.jpg,Plamen Iliev| footballer| born 1991| wearing green
What type of ball is the center of the FC Bolosani logo?,soccer,4fe987d30eff1647e86e30f858267ffc,4fe987d30eff1647e86e30f858267ffc.jpg,FC Bolosani| logo| type of ball
What is the main color on the cover of Kicking and Screaming (1995 film)?,green,e9e7af0a85bfe062956f1b070e486bce,e9e7af0a85bfe062956f1b070e486bce.jpg,cover| Kicking and Screaming (1995 film)| main color
"Margot at the Wedding has how many main characters, as portrayed on the front cover?",3,890daca84ae6e9abf9529097b7185e08,890daca84ae6e9abf9529097b7185e08.jpg,Margot at the Wedding| main characters| front cover
What type of outfit is Wes Anderson wearing?,suit,4a012b0163ce8530bf8760511d269d4f,4a012b0163ce8530bf8760511d269d4f.jpg,Wes Anderson| outfit
How many people are on the advertisement for Solarbabies?,6,ff47f2e753a2a5825174438fd981716b,ff47f2e753a2a5825174438fd981716b.jpg,advertisement| Solarbabies| number of people
What are the men wearing around their necks in Dil Jo Bhi Kahey poster?,ties,083b166c958a6479df5195ec55680460,083b166c958a6479df5195ec55680460.jpg,Dil Jo Bhi Kahey| poster| men| wearing| necks
What color is the woman's hair on the top of the advertisement for True True Lie?,blond,ab5b1e945e030bcb84f638050605ee2c,ab5b1e945e030bcb84f638050605ee2c.jpg,advertisement| True True Lie| woman's hair
What body part is on the front cover of As Real as It Gets?,hand,0d057428fb6a3fd99797cefdb845ef11,d1254b95150bd8ce68249a3b662b1de7.jpg,front cover| As Real as It Gets| body part
What sport is Maria Kharenkova participating in?,gymnastics,95547e88fe5b762e4583375da84acd3a,90ae8ffd35e8b551adefe84665605d98.jpg,Maria Kharenkova| sport
What color is the portion of the mat that Lilia Akhaimova is standing on?,white,2f94454039f886628e87c36a4e2afa0c,97ea83c78ac5805af20bd175cf74fdd6.jpg,Lilia Akhaimova| mat| color
What hairstyle is Maria Paseka wearing?,bun,6e93cfddb4d618c783245ab32c6f341a,6e93cfddb4d618c783245ab32c6f341a.jpg,Maria Paseka| hairstyle
What is covering Viktoria Komova's forehead?,bangs,1718c48e4ec8cefab50e30adddc3f738,f0ae48e8159b5765c907f6cf5a81a95c.jpg,Viktoria Komova| forehead
What is floating around the two people in Slumdog Millionaire?,confetti,6eaff02e7a4e8da95cd67e4021d98c6d,6eaff02e7a4e8da95cd67e4021d98c6d.jpg,two people| Slumdog Millionaire| floating objects
What is in the center of the logo for Alliance of American Football?,football,c62600f3a571cbb38bd66e124be5ec8a,c62600f3a571cbb38bd66e124be5ec8a.jpg,center| logo| Alliance of American Football
Does Biohazard (band) perform live?,yes,03fcd384671ac52f7efc39f5a3be92db,03fcd384671ac52f7efc39f5a3be92db.jpg,Biohazard (band)| live performance
Are the Transplants (band) giving an indoor or outdoor concert?,outdoor,bae81d7cfc1689353f90851dc0c8828f,53dc50ac6c0ce30a79643be629ed8896.jpg,Transplants (band)| indoor concert| outdoor concert
What color shirt is Tommaso Benvenuti (rugby union) wearing ?,blue,3ff0574ce7020df4a809ade7543d2f01,7cae0ca99c1c52652586d3d81b444ace.jpg,Tommaso Benvenuti| shirt| color| rugby union
What type of shoes is Takudzwa Ngwenya wearing?,cleats,d9ff3439677437f743e3d6b1122a76b8,2f8161530888d451d3c689164aa78f79.JPG,Takudzwa Ngwenya| shoes
What sport is Jonathan Sexton playing here?,rugby,ecc0ee1f35c325597bcf209174e40dca,dc43efe28d379eced496e264c2074d8a.jpg,Jonathan Sexton| sport
What type of pants is Ben Foden wearing?,shorts,a86332e817d902400866ca11e12e1444,a86332e817d902400866ca11e12e1444.jpg,Ben Foden| pants
Is Marvin the Martian shown on the poster for Bugs Bunny: Lost in Time game?,yes,5c751696e76db5161604e2d5c2d3f278,5c751696e76db5161604e2d5c2d3f278.jpg,Marvin the Martian| poster| Bugs Bunny: Lost in Time game
What is Elmer Fudd holding?,cane,5a2697a71ac83f0776b4495cabde19dd,5a2697a71ac83f0776b4495cabde19dd.jpg,Elmer Fudd| holding
What color are the gloves worn in Muttley?,red,d7051b92c135cd457fb53ace3a0caa65,cdb14a035ed8950bfcfaddbb2a3f98b1.jpg,gloves| Muttley
What is the woman on the Almost Famous poster wearing on her eyes?,sunglasses,1cb81000e30369eeb33654a9f653e7e6,1cb81000e30369eeb33654a9f653e7e6.jpg,Almost Famous poster| woman| eyes
"In Torpedo, what is in the diver's right hand?",harpoon,62f67108c087d149c3d245e913660bd9,62f67108c087d149c3d245e913660bd9.jpg,Torpedo| diver's right hand
How many people are in the Reservoir Dogs poster?,five,b44e0cf530d532c59e7fdd9a59f391c1,b44e0cf530d532c59e7fdd9a59f391c1.jpg,Reservoir Dogs| poster| number of people
Is there a rocket in this photo of the Geosynchronous Satellite Launch Vehicle?,yes,38d56076632cae4ce6b97c49afda00f5,338dde42313bb283e06390c93d8e7578.jpg,photo| Geosynchronous Satellite Launch Vehicle| rocket
What color dress is the woman wearing in the Tanu Weds Manu poster?,green,b903b91a9cb9a72b45113055adba7658,b903b91a9cb9a72b45113055adba7658.jpg,Tanu Weds Manu| poster| woman| dress color
What color dress is the woman on the right wearing in Nil Battey Sannata?,red,9d3d8ad4942b1bb99e30c438e67e0798,9d3d8ad4942b1bb99e30c438e67e0798.jpg,woman| dress| Nil Battey Sannata
"What color is the woman's hair, who Romeo is kissing?",orange,55d097da2debadcfdde6e3c6f7953dec,55d097da2debadcfdde6e3c6f7953dec.jpg,woman| hair color| Romeo| kissing
Does William Shakespeare have long or short hair in this image?,long,b95286acbb525edd9a1171deef37ee48,b95286acbb525edd9a1171deef37ee48.jpg,William Shakespeare| hair length| image
How many columns are at the front of The Old Vic theatre?,6,969c35c3a4f152107d2b6eaf4b552697,cc942246e565e1c93c2371d4f1c3d385.jpg,The Old Vic theatre| columns| front
Is Manon's clothing shiny?,yes,7a519bb802d41ef1b76c704bc4b32cd4,57163d8fcd41e6bdefd412930cfdc67f.jpg,Manon's clothing| shiny
What is Don Giovanni holding in his right hand?,sword,3a54edd73657b7508a9e60575b002f2b,3a54edd73657b7508a9e60575b002f2b.jpg,Don Giovanni| right hand
What color undershirt is Wolfgang Amadeus Mozart wearing?,white,6966304e203aac28b259671c44d3ca3e,6966304e203aac28b259671c44d3ca3e.jpg,Wolfgang Amadeus Mozart| undershirt| color
What kind of structure depicted in the bottom image of the San Francisco Bay Area collage?,bridge,217469315ba1763765d35978e6699946,a01229fc5cac17efe55a9301a846f603.jpg,structure| San Francisco Bay Area| bottom image| collage
How many members of Grand Funk Railroad have long hair?,one,19552d5b2f6c96265e8b327a988d79ac,19552d5b2f6c96265e8b327a988d79ac.jpg,Grand Funk Railroad| members| long hair
What color hair does Jackée Harry have?,black,182c182363f77cb56504d4c19dae56dc,182c182363f77cb56504d4c19dae56dc.jpg,Jackée Harry| hair color
What is Regina King wearing on her head?,headband,56d229bc6428c1909f95df538950ebb9,4fa0463efa24c3778eacf796ebbd7cb9.jpg,Regina King| wearing| head
"Of the clothing that Vijay Amritraj is wearing, which piece of clothing is striped?",tie,246ed94f09db711d85c36b3ada80aa1b,2e7743cd44b31615fd084e917eb16aea.jpg,Vijay Amritraj| clothing| striped
What is on the wrists of Arthur Ashe?,wristbands,80b9da7ee2e0436ed43bf6c4be6285e5,80b9da7ee2e0436ed43bf6c4be6285e5.jpg,Arthur Ashe| wrists
What is directly behind Brad Gilbert?,fence,b10a9f981a385afef039b94ae26942ac,080dd17b64a2c2d0e8e66931ed6539d9.JPG,Brad Gilbert| background
Does Dries Mertens have his mouth open or closed?,closed,a81f75bdeaa7b0a15c41dbfa69696c07,0dfce11d572b28d24274633d64db2f7b.jpg,Dries Mertens| mouth open| mouth closed
What gold shape is on the upper right jacket of Suso (footballer)?,star,aeda90835f1790f8962cd41a70d6bc35,aeda90835f1790f8962cd41a70d6bc35.jpg,gold shape| upper right jacket| Suso (footballer)
What direction is Rodrigo De Paul wearing his hat?,backwards,7475a2210f7f3e3556ab964c35261cbe,7475a2210f7f3e3556ab964c35261cbe.jpg,Rodrigo De Paul| hat| direction
What type of piercing does Manuel Lazzari have?,ear,897f52c139bd67b0453648ef089f753b,dce77aa258fa1e56ea88918cb8a2ad36.jpg,Manuel Lazzari| piercing
What is Julianne Moore wearing around her neck?,necklace,fffeb86b582502524ae6d97ef8383069,fffeb86b582502524ae6d97ef8383069.jpg,Julianne Moore| wearing| neck
What is Billy Joel doing to indicate that he is happy?,smiling,02083fab499fc23081c1bec576785c13,02083fab499fc23081c1bec576785c13.jpg,Billy Joel| happy
What shape is in the center of Viduthalal Chiruthaigal Katchi?,star,e7a17bf9eb43fbe95843f682a03b0eb3,133a00c7e95232f76690182da35fbb46.jpg,Viduthalal Chiruthaigal Katchi| shape| center
"How many different pictures of Albany, New York are there?",six,84471b0e29e7b5622512f1a907ffc57e,84471b0e29e7b5622512f1a907ffc57e.jpg,"pictures| Albany, New York"
What color is the uppermost bracelet on Alonzo Mourning's right wrist?,yellow,19861097f6032aa572d31ca3549c38dc,19861097f6032aa572d31ca3549c38dc.jpg,Alonzo Mourning| right wrist| bracelet| color
What is on the necklace that Glen Rice is wearing?,cross,16c89325a88683d6ffa161ed0d72744f,16c89325a88683d6ffa161ed0d72744f.jpg,necklace| Glen Rice
What can be seen on the distant mountains of Namdapha National Park?,snow,ed658358171782df5b6fa5c03a7559ad,2337ee0448435729a462b52d67a3a892.jpg,distant mountains| Namdapha National Park
Do rhinos live in Kaziranga National Park ?,yes,ea5dc8587fdbc88fd245a6cc261bc128,ea5dc8587fdbc88fd245a6cc261bc128.jpg,rhinos| Kaziranga National Park
What item with two posts is seen here in the 1978 Amco Cup?,goalpost,a296a8ed3520f3aaa14ecc22b953fed5,9dee6e32624d19c0b3b6d19edaacb22c.jpg,1978 Amco Cup| item| two posts
Is there a field of green present in the 1980 Tooth Cup photo?,yes,af6382b9a97512324115ab7e40c9d6af,db02e1c3b5c29be81e796c08ddbdbc2a.jpg,1980 Tooth Cup| photo| field of green
How many TV screens are visible in the photo of the 1989 Panasonic Cup (rugby league) field?,one,a290345f4bfbf52c2ae129ed1ae3f7e9,98295ff5221268ba0e48af4d2c5faf77.jpg,photo| 1989 Panasonic Cup| rugby league| TV screens
How many petals are on the flower in the Brisbane rugby league team logo?,nine,59424e6d811a38b7618696609ff17a48,59424e6d811a38b7618696609ff17a48.jpg,Brisbane rugby league team| logo| flower| petals
What is the background color of the Angry All the Time cover?,black,eacbff5b7f3d2838fd81d3c21e13f54c,eacbff5b7f3d2838fd81d3c21e13f54c.jpg,background color| Angry All the Time| cover
What portion of the KK Cibona logo is missing?,fourth,56686c2721f5185422d886843c46f416,0ee3ed9239299bac713a5c2f34a0f95d.jpg,KK Cibona| logo| missing portion
How many women are wearing pants in the cover of Rap-Up?,one,ddd5f8da9f80a0761b127c3e240e4040,ddd5f8da9f80a0761b127c3e240e4040.jpg,cover| Rap-Up| women| pants
Are there mountains in the background in this photo of Rasen-Antholz?,yes,8767d6a21d960a41a392aa12b8bb14e8,fef49febcbb985bff5e8ba5ea1743429.jpg,Rasen-Antholz| mountains| background| photo
What kind of structure can be seen on a top right picture of Jyvaskyla?,bridge,60514549a65e823aa7066e4d4556b8b8,9c8c086d11a84e95aaee8e967314a05b.jpg,structure| top right picture| Jyvaskyla
"What geological feature is seen in the background of Canmore, Alberta?",mountains,08e0eb017ba996d04e9c75114428fd45,08e0eb017ba996d04e9c75114428fd45.jpg,"geological feature| Canmore, Alberta"
How many characters are in the painting Twelfth Night?,3,8d65d56091cc13f16fe1043745198994,e7bda7dc2fb190d58431e0f6e8016165.jpg,Twelfth Night| painting| characters
What shape is the red thing next to Taylor Swift?,heart,06b20247b254715e56dce63791481df1,06b20247b254715e56dce63791481df1.jpg,red thing| Taylor Swift| shape
What type of structure is above the water in this advertisement for Castle (TV series)?,bridge,06860a2886e322ba88deb4d2ae7266bb,06860a2886e322ba88deb4d2ae7266bb.jpg,advertisement| Castle (TV series)| structure| water
How many people are displayed on this poster for 28 Days Later?,one,947e0a6276f9f0e12a7b2f85d9cf8b7e,947e0a6276f9f0e12a7b2f85d9cf8b7e.jpg,poster| 28 Days Later| number of people
What kind of expression is on the face of the  woman in The  Bodyguard World Tour?,happy,10a64187b134156ef25069ba18f399fd,14dfd0876fb222e2c83d1562ca938c99.jpg,woman| expression| The Bodyguard World Tour
What facial expression does Adele have on her face?,smile,7ff0905e0c4242160ec3c40b59a2b487,8b96f2d8333db215aad479d57737d8ba.jpg,Adele| facial expression
How many people are present on the The Great Gatsby (2013 film) poster?,six,717b9622d97becb987e3ff8f19e5fcd7,717b9622d97becb987e3ff8f19e5fcd7.jpg,The Great Gatsby (2013 film)| poster| number of people
What is Daisy Buchanan wearing?,dress,6c7f566f0662ec1b97f2d5b95c7a4976,6c7f566f0662ec1b97f2d5b95c7a4976.jpg,Daisy Buchanan| wearing
"What length of hair does My Church have, short or long?",long,a7ffdde34c24833473a382cf9cbee874,eb67dcd4ac10ab54827d6a9a20b1d182.jpg,My Church| hair length
What color is the background of the I Told You So (Randy Travis song) poster?,black,6e3df75df6440d8e4633838bc459ecc3,6e3df75df6440d8e4633838bc459ecc3.jpg,I Told You So (Randy Travis song)| poster| background color
What is in the ear of William Shakespeare?,earring,b95286acbb525edd9a1171deef37ee48,b95286acbb525edd9a1171deef37ee48.jpg,William Shakespeare| ear
How many streams of water are seen in the fountain in front of Lyric Theatre (Hammersmith)?,twelve,5efa8a7f6a11def76e2d39030d622110,5efa8a7f6a11def76e2d39030d622110.jpg,fountain| streams of water| Lyric Theatre (Hammersmith)
What sport is Kirk Hinrich playing?,basketball,a48805beb5b3eb40f563d5c04bb6f0d7,a48805beb5b3eb40f563d5c04bb6f0d7.jpg,Kirk Hinrich| sport
What does Dennis Bergkamp have around his neck?,scarf,e76344027502bbcef77d7cb10df55d24,e76344027502bbcef77d7cb10df55d24.jpg,Dennis Bergkamp| around his neck
What item is positioned directly in front of Michael Laudrup?,microphone,194809106165e7bd9a0dbbd15fcc4d33,266ac6c1b2915a60ad33effa2f4e074d.jpg,Michael Laudrup| item| position
Which foot is Jean-Pierre Papin about to kick the ball with?,right,839ea9b4e3da4487c7bb3070d8483e0a,08721a6909b3c42b35bedce52df26db9.jpg,Jean-Pierre Papin| foot| ball
What type of ball is on the FC Barcelona logo?,soccer,ad20afe31bcbfb2836998dbfa0ddbfa6,6716c3b54a4ba7204e3a62f89d3a5f49.jpg,FC Barcelona| logo| ball
What instrument is the singer in The Lovely Eggs playing?,guitar,7843f506e2c0e303ae2e6fa344a82067,06d46dd8e2455c9445aebf154924eb8b.jpg,singer| The Lovely Eggs| instrument
What instrument is being held by the woman on the left in Haiku Salut?,guitar,c8ec8a07913d7d8c1da9534b969ca4a3,11c2e048c759f21481836bcc408407c8.jpg,woman| left| Haiku Salut| instrument
What does Helen Love have in her hands?,beverage,e332c859c0937f1937b54e814cb88e5c,52cd57577ed72af468564704d795d7ce.jpg,Helen Love| hands
What color is the exterior of the Almeida Theatre?,white,e980eca9951d60fe14bcd2b5425bb7aa,e980eca9951d60fe14bcd2b5425bb7aa.jpg,Almeida Theatre| exterior color
What time of day is it at this Broadway theatre?,night,2b2fa3beeaba99e6498af935bc6086b7,a6b5a91199e92dfa816afa78b412ad5f.jpg,Broadway theatre| time of day
What type of animal is at the top of the British Racing Motors logo?,bird,86506c6e4f982b730f0a14a1c7ab9b0b,cae606fdd5b8469cb13aa5ba5dfe76a6.jpg,British Racing Motors| logo| animal
What are the men wearing on their heads in Northfork?,hats,8e8a25c6143750f3269b451d39213681,8e8a25c6143750f3269b451d39213681.jpg,men| Northfork| headwear
"What is the hair color of Carol Reed?""",brunette,4807275d3625727d6b959efb22ad148f,b2c74982ff878b67eafb030fe355d992.jpg,Carol Reed| hair color
How many statues are visible on the building in front of Murcia?,two,9975f93834166e70263e5f8df581c7d2,9975f93834166e70263e5f8df581c7d2.jpg,statues| building| Murcia
What facial expression is Reba McEntire making?,smile,0f76453a5f76e22a9fcb5909cead051d,0f76453a5f76e22a9fcb5909cead051d.jpg,Reba McEntire| facial expression
What does the man have loaded in his bow on the cover of Brian's Hunt?,arrow,3df7936a4cb65118a456b738f476ae70,3df7936a4cb65118a456b738f476ae70.jpg,cover| Brian's Hunt| man| bow
What facial expression does David Baldacci have?,smiling,79612e154d8e3cb774e116524c723889,79612e154d8e3cb774e116524c723889.jpg,David Baldacci| facial expression
What color is the award from the Filmfare Awards?,black,63f61b6ed134c164e767d139059cf626,ab5ab0cf63e1690083a9baa148338778.jpg,Filmfare Awards| award color
How many different people are seen here for the Filmfare Award for Best Supporting Actor?,two,66e43b987863c88295c6a3464b525681,5fb9bcf7c8f30622624445b00faf7cd5.jpg,Filmfare Award| Best Supporting Actor| different people
What is Virginia Ruzici wearing around her neck?,medal,c794d4a64dadb6c4ea02e1797af86cbe,085b35868038e28b14e16d92358257b1.jpg,Virginia Ruzici| wearing| neck
On what surface is Martina Navratilova playing?,clay,10b8e48182486a3da252cc0eb6c7a80b,6019aff2137398f1731cbc1321994ef9.jpg,Martina Navratilova| surface
What does Manuela Maleeva wear around her neck?,neckless,85c0e667c19899e57de4593337b88120,433e905f26cb789cf322745b178bade5.jpg,Manuela Maleeva| wear| neck
How many necklaces is Pam Shriver wearing?,one,1879c9f1a36102a9174c458b418c8d95,1879c9f1a36102a9174c458b418c8d95.jpg,Pam Shriver| necklaces
What direction is Monica Seles looking?,forward,7d7e4f56a0a4c949be6efc927ca2759c,7d7e4f56a0a4c949be6efc927ca2759c.jpg,Monica Seles| direction
What type of facial hair does Graham Hill have?,moustache,dc66961601133f0b26f44d0f69bada1c,dc66961601133f0b26f44d0f69bada1c.jpg,Graham Hill| facial hair type
How many characters are on the cover of Dream High?,eight,fa8a146bc6f824a7cf62e1b62ac579fc,fa8a146bc6f824a7cf62e1b62ac579fc.jpg,cover| Dream High| characters
Is this photo of Norman Mann modern or historic?,historic,38060859edfbd9ea51948b9a9876a588,2ee8378d5b847e140443a2e7097700af.jpg,photo| Norman Mann| modern| historic
Is this Washington Lions logo in color?,no,ecb3dc92895c729e09a77e90e75467f0,e135e6d190044eb80c80a012ed718204.jpg,Washington Lions| logo| color
What is the animal in the middle of the Providence Reds logo?,rooster,7a536e03eb3a437d53e9504f8b8121dd,7a536e03eb3a437d53e9504f8b8121dd.jpg,Providence Reds| logo| animal
What facial hair does Paul Blart: Mall Cop have?,mustache,0b94245596940d1ab44df4bf05ce6e42,0b94245596940d1ab44df4bf05ce6e42.jpg,Paul Blart| Mall Cop| facial hair
Does the poster for Little Boy (film) show a child's silhouette?,yes,86119609fb37222c24b483e560335b3d,86119609fb37222c24b483e560335b3d.jpg,poster| Little Boy (film)| child's silhouette
What is Sandy Wexler wearing on his face?,glasses,88304e1569022060cbd45543b536b390,88304e1569022060cbd45543b536b390.jpg,Sandy Wexler| wearing| face
What is to the left of Carrie Underwood's mouth?,microphone,c9c97cbc77353164913fcf9082ec76d9,e9e2a58f0870fc2ccf01c5a4b8dbcbe3.jpg,Carrie Underwood| left of mouth
What is the main color of the Tennis ball?,green,fbbe88820de6a54597b1f278ff75316d,0d85efa34accf8179042f2ae47d6c3c3.jpg,Tennis ball| main color
What color is the background in Swarnakamalam?,black,211bd3bce51045928e5491484e7f50b3,66b7095263de15245dc88584b1798f90.jpg,Swarnakamalam| background color
Does the man on the Muthyamantha Muddu poster have facial hair?,yes,de3de9984625c39dcd31823326d184e7,89e2dd256817442c5571c091cf3bdbac.jpg,Muthyamantha Muddu| poster| man| facial hair
what color is Rajendra Prasad shirt,white,05ce43caeccf4bfb1e09c4621396ec38,de3de9984625c39dcd31823326d184e7.jpg,Rajendra Prasad| shirt| color
What is Bapu (film director) wearing on his face?,glasses,95050cd6ab58835c141913a36865bc91,1bed1b05f9bac3403bbc21279f207e38.jpg,Bapu (film director)| wearing| face
What instrument is James Taylor holding?,guitar,eccebef37f68d94084d584ea2e963754,eccebef37f68d94084d584ea2e963754.jpg,James Taylor| instrument
How many people in this photo of In the Heat of the Night (TV series) are wearing a suit?,one,2054ae4dca7a9b8c5df750eea462a518,b603827d1bb2366d28cf8fc0604bb6c2.jpg,photo| In the Heat of the Night (TV series)| suit
Are there any trees near Kew?,yes,476978f3763dd2ae538420e2653f350a,aa58efa8bb68d1620a6598bc6644bb07.JPG,trees| Kew
Have the Eurythmics done any live shows?,yes,1b56673db55e0e521a313ada3957b7c0,1b56673db55e0e521a313ada3957b7c0.jpg,Eurythmics| live shows
What color is the outside border on You Stole the Sun from My Heart?,green,549e683903bbc09d3d0a774598d076b1,bb992017e64e5524be340b8e45948c69.jpg,outside border| You Stole the Sun from My Heart
How many pictures of Whitney Houston are on the album cover for It's Not Right But It's Okay?,four,26b572bdc5c36490baab3b178dae5d7d,26b572bdc5c36490baab3b178dae5d7d.jpg,album cover| It's Not Right But It's Okay| Whitney Houston| pictures
What kind of car is featured on the Ready Player One (film) poster?,delorean,3f80e0e4fa638730ed5e6f1f02f8dcaf,3f80e0e4fa638730ed5e6f1f02f8dcaf.jpg,Ready Player One (film)| poster| car
what is main color of Carol Danvers outfit,blue,4ac9a1e0c37c639aa7ce76ad7dc49872,4ac9a1e0c37c639aa7ce76ad7dc49872.jpg,Carol Danvers| outfit| main color
What is around Bob Dylan's finger?,ring,f5cbf925ab8a92bed75b9ad81fffe656,f5cbf925ab8a92bed75b9ad81fffe656.jpg,Bob Dylan| finger
What is over the ears of the man on the left who is playing Hip hop music?,headphones,2a5021901574f113f445c018cc3b13a5,2a5021901574f113f445c018cc3b13a5.jpg,man| left| playing Hip hop music| over the ears
What is Miguel Cabrera wearing on his hands?,gloves,ff76c187e094be46f175e5c731509d9a,ff76c187e094be46f175e5c731509d9a.jpg,Miguel Cabrera| wearing| hands
What animal is seen in the Calgary Wranglers logo?,horse,862fffb2418902b42e48f82bfc0bc455,862fffb2418902b42e48f82bfc0bc455.jpg,Calgary Wranglers| logo| animal
What is the main color in the Calgary Boomers logo?,orange,7bf7ea3f38c065ae1d8487ae6417b156,7bf7ea3f38c065ae1d8487ae6417b156.jpg,Calgary Boomers| logo| main color
What color is the background of My Three Sons,blue,2e74be131b014c9b79ae8f3bceaf9ed4,2e74be131b014c9b79ae8f3bceaf9ed4.jpg,background| My Three Sons
what is Simon Pagenaud holding in the air?,hand,be6e7084a8f407ae043980031fe5de6a,cc7869f423d165ed6e34c602b58937d1.JPG,Simon Pagenaud| holding| air
What is Giorgia Rubino wearing on his left wrist?,watch,842c909551f5c741acfe0795fdef1f19,f6b033b9422406514eaf9cdea7c6e4d2.jpg,Giorgia Rubino| left wrist| wearing
Does Michele Didoni's shirt have sleeves?,no,15cc00cd0948a05254e1ce56342a1e81,e4ee76ee7611fc80e3547cb3b86e2ab2.jpg,Michele Didoni| shirt| sleeves
What kind of shoes is Alessandro Pezzatini wearing?,sneakers,e8fa5ddc27d46da7b31154d494bfe3c6,03c03d15d7f8d3f74a86eae6053c27a1.jpg,Alessandro Pezzatini| shoes
Is there a body of water in this photo of Lugano?,yes,ce74c5c019b989b197c8c15bd388c629,ce74c5c019b989b197c8c15bd388c629.jpg,photo| Lugano| body of water
What color hair does the person on the Walk with Me (Monika Linkytė album) have?,blonde,1371b12c3f28f9e389a0e96abcfdd190,1371b12c3f28f9e389a0e96abcfdd190.jpg,Walk with Me (Monika Linkytė album)| hair color| person
Is Karai (Teenage Mutant Ninja Turtles) in this image?,yes,74d6e1d36847a1e6e8e8b4d9a9f6d96a,3ce7d5b66259938f38ac763da3277302.jpg,Karai| Teenage Mutant Ninja Turtles| image
What kind of ball is featured on the KK Krka logo?,basketball,0483a438e5f39b9e59de3f9e15870bce,24ac931e1364cc891231c815b1e046ef.jpg,KK Krka| logo| ball
Does Robert De Niro have thinning hair?,yes,e82056d716b0bbbe12c62dd0c27501af,e82056d716b0bbbe12c62dd0c27501af.jpg,Robert De Niro| thinning hair
Are the colors of the American flag present in the logo of Club Atlético River Plate Puerto Rico?,yes,39790cbe52e400b77427236d15b9b0f9,39790cbe52e400b77427236d15b9b0f9.jpg,American flag| colors| Club Atlético River Plate Puerto Rico| logo
